8706     4
 
(0.9013051E-07, -0.1363238E-06)  (0.9700473E-07, -0.1315282E-06)  (0.1036236E-06, -0.1263862E-06)
(0.1099698E-06, -0.1209118E-06)  (0.1160268E-06, -0.1151194E-06)  (0.1217788E-06, -0.1090245E-06)
(0.1272110E-06, -0.1026432E-06)  (0.1323093E-06, -0.9599245E-07)  (0.1370604E-06, -0.8908987E-07)
(0.1414522E-06, -0.8195369E-07)  (0.1454732E-06, -0.7460274E-07)  (0.1491132E-06, -0.6705641E-07)
(0.1523629E-06, -0.5933455E-07)  (0.1552140E-06, -0.5145747E-07)  (0.1576593E-06, -0.4344586E-07)
(0.1596926E-06, -0.3532072E-07)  (0.1613088E-06, -0.2710335E-07)  (0.1625040E-06, -0.1881523E-07)
(0.1632753E-06, -0.1047805E-07)  (0.1636209E-06, -0.2113547E-08)  (0.1635401E-06, 0.6256454E-08)
(0.1630336E-06, 0.1461016E-07)  (0.1621027E-06, 0.2292583E-07)  (0.1607501E-06, 0.3118186E-07)
(0.1589797E-06, 0.3935683E-07)  (0.1567963E-06, 0.4742955E-07)  (0.1542057E-06, 0.5537911E-07)
(0.1512149E-06, 0.6318495E-07)  (0.1478320E-06, 0.7082691E-07)  (0.1440659E-06, 0.7828529E-07)
(0.1399266E-06, 0.8554086E-07)  (0.1354251E-06, 0.9257497E-07)  (0.1305731E-06, 0.9936954E-07)
(0.1253836E-06, 0.1059071E-06)  (0.1198699E-06, 0.1121710E-06)  (0.1140467E-06, 0.1181452E-06)
(0.1079290E-06, 0.1238144E-06)  (0.1015330E-06, 0.1291641E-06)  (0.9487511E-07, 0.1341809E-06)
(0.8797279E-07, 0.1388518E-06)  (0.8084391E-07, 0.1431652E-06)  (0.7350698E-07, 0.1471101E-06)
(0.6598097E-07, 0.1506766E-06)  (0.5828534E-07, 0.1538558E-06)  (0.5043998E-07, 0.1566396E-06)
(0.4246511E-07, 0.1590213E-06)  (0.3438128E-07, 0.1609949E-06)  (0.2620928E-07, 0.1625556E-06)
(0.1797010E-07, 0.1636997E-06)  (0.9684908E-08, 0.1644245E-06)  (0.1374923E-08, 0.1647283E-06)
(-0.6938573E-08, 0.1646107E-06)  (-0.1523432E-07, 0.1640721E-06)  (-0.2349113E-07, 0.1631143E-06)
(-0.3168795E-07, 0.1617400E-06)  (-0.3980388E-07, 0.1599528E-06)  (-0.4781827E-07, 0.1577576E-06)
(-0.5571076E-07, 0.1551603E-06)  (-0.6346131E-07, 0.1521676E-06)  (-0.7105026E-07, 0.1487875E-06)
(-0.7845842E-07, 0.1450288E-06)  (-0.8566704E-07, 0.1409013E-06)  (-0.9265793E-07, 0.1364157E-06)
(-0.9941347E-07, 0.1315836E-06)  (-0.1059166E-06, 0.1264175E-06)  (-0.1121511E-06, 0.1209307E-06)
(-0.1181012E-06, 0.1151372E-06)  (-0.1237521E-06, 0.1090521E-06)  (-0.1290896E-06, 0.1026907E-06)
(-0.1341004E-06, 0.9606955E-07)  (-0.1387720E-06, 0.8920539E-07)  (-0.1430929E-06, 0.8211575E-07)
(-0.1470522E-06, 0.7481869E-07)  (-0.1506404E-06, 0.6733275E-07)  (-0.1538485E-06, 0.5967694E-07)
(-0.1566686E-06, 0.5187066E-07)  (-0.1590940E-06, 0.4393368E-07)  (-0.1611188E-06, 0.3588607E-07)
(-0.1627380E-06, 0.2774815E-07)  (-0.1639479E-06, 0.1954044E-07)  (-0.1647457E-06, 0.1128362E-07)
(-0.1651296E-06, 0.2998455E-08)  (-0.1650990E-06, -0.5294228E-08)  (-0.1646542E-06, -0.1357362E-07)
(-0.1637965E-06, -0.2181897E-07)  (-0.1625283E-06, -0.3000965E-07)  (-0.1608532E-06, -0.3812516E-07)
(-0.1587755E-06, -0.4614525E-07)  (-0.1563006E-06, -0.5404992E-07)  (-0.1534351E-06, -0.6181948E-07)
(-0.1501863E-06, -0.6943461E-07)  (-0.1465625E-06, -0.7687640E-07)  (-0.1425731E-06, -0.8412638E-07)
(-0.1382282E-06, -0.9116660E-07)  (-0.1335389E-06, -0.9797965E-07)  (-0.1285171E-06, -0.1045487E-06)
(-0.1231754E-06, -0.1108576E-06)  (-0.1175274E-06, -0.1168908E-06)  (-0.1115873E-06, -0.1226334E-06)
(-0.1053700E-06, -0.1280714E-06)  (-0.9889122E-07, -0.1331915E-06)  (-0.9216707E-07, -0.1379812E-06)
(-0.8521443E-07, -0.1424288E-06)  (-0.7805067E-07, -0.1465235E-06)  (-0.7069367E-07, -0.1502555E-06)
(-0.6316174E-07, -0.1536156E-06)  (-0.5547363E-07, -0.1565959E-06)  (-0.4764843E-07, -0.1591891E-06)
(-0.3970556E-07, -0.1613892E-06)  (-0.3166471E-07, -0.1631910E-06)  (-0.2354575E-07, -0.1645903E-06)
(-0.1536877E-07, -0.1655839E-06)  (-0.7153928E-08, -0.1661696E-06)  (0.1078517E-08, -0.1663462E-06)
(0.9308302E-08, -0.1661136E-06)  (0.1751520E-07, -0.1654726E-06)  (0.2567905E-07, -0.1644250E-06)
(0.3377984E-07, -0.1629736E-06)  (0.4179774E-07, -0.1611224E-06)  (0.4971314E-07, -0.1588761E-06)
(0.5750670E-07, -0.1562404E-06)  (0.6515942E-07, -0.1532221E-06)  (0.7265266E-07, -0.1498288E-06)
(0.7996820E-07, -0.1460690E-06)  (0.8708827E-07, -0.1419522E-06)  (0.9399561E-07, -0.1374887E-06)
(0.1006735E-06, -0.1326895E-06)  (0.1071058E-06, -0.1275667E-06)  (0.1132770E-06, -0.1221329E-06)
(0.1191722E-06, -0.1164015E-06)  (0.1247772E-06, -0.1103868E-06)  (0.1300787E-06, -0.1041034E-06)
(0.1350639E-06, -0.9756700E-07)  (0.1397209E-06, -0.9079349E-07)  (0.1440386E-06, -0.8379952E-07)
(0.1480068E-06, -0.7660220E-07)  (0.1516160E-06, -0.6921912E-07)  (0.1548578E-06, -0.6166830E-07)
(0.1577246E-06, -0.5396814E-07)  (0.1602097E-06, -0.4613737E-07)  (0.1623073E-06, -0.3819501E-07)
(0.1640126E-06, -0.3016035E-07)  (0.1653217E-06, -0.2205285E-07)  (0.1662318E-06, -0.1389212E-07)
